profile_id,user_id,profile_type,active_hours
P0353,U0097,Adult,Morning
P0354,U0284,Adult,Afternoon
P0355,U0367,Shared,Evening
P0356,U0317,Shared,Afternoon
P0357,U0304,Shared,Afternoon
P0358,U0147,Shared,Evening
P0359,U0004,Adult,Afternoon
P0360,U0035,Adult,Evening
P0361,U0192,Kid,Afternoon
P0362,U0049,Kid,Evening
P0363,U0017,Shared,Morning
P0364,U0172,Shared,Night
P0365,U0220,Shared,Evening
P0366,U0158,Kid,Evening
P0367,U0046,Kid,Night
P0368,U0373,Kid,Evening
P0369,U0006,Kid,Evening
P0370,U0099,Kid,Afternoon
P0371,U0380,Kid,Night
P0372,U0233,Kid,Morning
P0373,U0037,Shared,Evening
P0374,U0280,Shared,Night
P0375,U0349,Shared,Afternoon
P0376,U0302,Shared,Morning
P0377,U0181,Kid,Night
P0378,U0095,Adult,Morning
P0379,U0099,Kid,Morning
P0380,U0188,Adult,Morning
P0381,U0116,Shared,Evening
P0382,U0191,Kid,Evening
P0383,U0253,Shared,Afternoon
P0384,U0161,Kid,Afternoon
P0385,U0256,Shared,Night
P0386,U0323,Adult,Afternoon
P0387,U0128,Adult,Morning
P0388,U0018,Adult,Morning
P0389,U0281,Kid,Evening
P0390,U0223,Adult,Morning
P0391,U0054,Kid,Night
P0392,U0058,Adult,Morning
P0393,U0323,Adult,Morning
P0394,U0360,Kid,Night
P0395,U0174,Kid,Afternoon
P0396,U0280,Adult,Afternoon
P0397,U0114,Kid,Night
P0398,U0288,Adult,Evening
P0399,U0342,Kid,Morning
P0400,U0151,Shared,Night
P0401,U0127,Shared,Morning
P0402,U0155,Shared,Evening
P0403,U0386,Shared,Morning
P0404,U0273,Shared,Night
P0405,U0104,Adult,Morning
P0406,U0393,Shared,Afternoon
P0407,U0299,Shared,Evening
P0408,U0246,Shared,Evening
P0409,U0176,Shared,Evening
P0410,U0039,Kid,Night
P0411,U0170,Adult,Evening
P0412,U0247,Shared,Afternoon
P0413,U0026,Shared,Night
P0414,U0355,Shared,Afternoon
P0415,U0306,Adult,Morning
P0416,U0013,Kid,Morning
P0417,U0316,Adult,Morning
P0418,U0391,Kid,Morning
P0419,U0313,Shared,Afternoon
P0420,U0036,Shared,Night
P0421,U0173,Adult,Night
P0422,U0020,Adult,Evening
P0423,U0321,Kid,Afternoon
P0424,U0264,Kid,Morning
P0425,U0400,Adult,Afternoon
P0426,U0142,Kid,Evening
P0427,U0371,Adult,Evening
P0428,U0143,Kid,Afternoon
P0429,U0092,Adult,Afternoon
P0430,U0354,Adult,Afternoon
P0431,U0322,Adult,Night
P0432,U0288,Kid,Morning
P0433,U0215,Kid,Afternoon
P0434,U0342,Kid,Afternoon
P0435,U0051,Adult,Afternoon
P0436,U0153,Kid,Evening
P0437,U0186,Kid,Evening
P0438,U0063,Adult,Night
P0439,U0190,Shared,Morning
P0440,U0125,Adult,Night
P0441,U0150,Kid,Morning
P0442,U0314,Adult,Evening
P0443,U0058,Shared,Evening
P0444,U0342,Adult,Evening
P0445,U0305,Kid,Night
P0446,U0180,Shared,Afternoon
P0447,U0170,Kid,Afternoon
P0448,U0326,Shared,Evening
P0449,U0271,Shared,Afternoon
P0450,U0054,Adult,Afternoon
P0451,U0101,Adult,Night
P0452,U0264,Kid,Morning
P0453,U0053,Adult,Evening
P0454,U0060,Adult,Evening
P0455,U0108,Shared,Night
P0456,U0005,Adult,Night
P0457,U0103,Shared,Afternoon
P0458,U0196,Shared,Evening
P0459,U0262,Shared,Morning
P0460,U0365,Kid,Night
P0461,U0372,Kid,Morning
P0462,U0350,Kid,Morning
P0463,U0047,Shared,Evening
P0464,U0355,Kid,Evening
P0465,U0311,Kid,Night
P0466,U0308,Adult,Evening
P0467,U0144,Kid,Evening
P0468,U0269,Kid,Evening
P0469,U0370,Shared,Morning
P0470,U0124,Shared,Night
P0471,U0106,Shared,Afternoon
P0472,U0158,Shared,Morning
P0473,U0147,Shared,Evening
P0474,U0145,Shared,Morning
P0475,U0120,Kid,Evening
P0476,U0319,Shared,Evening
P0477,U0275,Shared,Morning
P0478,U0092,Adult,Night
P0479,U0058,Kid,Evening
P0480,U0346,Kid,Night
P0481,U0229,Kid,Afternoon
P0482,U0117,Shared,Evening
P0483,U0318,Shared,Night
P0484,U0279,Shared,Night
P0485,U0127,Adult,Afternoon
P0486,U0393,Shared,Night
P0487,U0396,Adult,Night
P0488,U0129,Kid,Afternoon
P0489,U0058,Shared,Evening
P0490,U0122,Adult,Night
P0491,U0001,Adult,Night
P0492,U0239,Shared,Night
P0493,U0290,Kid,Morning
P0494,U0096,Kid,Afternoon
P0495,U0126,Kid,Morning
P0496,U0118,Adult,Afternoon
P0497,U0048,Adult,Evening
P0498,U0089,Adult,Evening
P0499,U0237,Adult,Night
P0500,U0373,Kid,Afternoon
