watch_id,profile_id,content_id,watch_duration_min,completion_rate_percent,device,timestamp
W00090,P0143,C0378,67,58,Tablet,2024-05-03 01:14:00
W00091,P0190,C0193,53,20,TV,2024-04-12 02:16:00
W00092,P0389,C0135,89,76,Laptop,2024-03-30 23:43:00
W00093,P0301,C0228,45,60,Laptop,2024-03-09 08:19:00
W00094,P0374,C0120,102,61,Tablet,2024-03-01 02:17:00
W00095,P0052,C0361,43,94,Tablet,2024-02-19 16:12:00
W00096,P0455,C0267,111,52,Mobile,2024-04-16 04:13:00
W00097,P0112,C0336,17,67,Tablet,2024-04-27 11:49:00
W00098,P0135,C0132,110,87,Laptop,2024-03-21 09:22:00
W00099,P0411,C0331,115,79,TV,2024-05-26 09:06:00
W00100,P0473,C0291,74,38,Laptop,2024-02-15 15:21:00
W00101,P0470,C0245,61,40,TV,2024-03-09 22:52:00
W00102,P0112,C0201,80,37,Tablet,2024-03-04 00:48:00
W00103,P0013,C0179,24,59,Mobile,2024-05-28 18:17:00
W00104,P0273,C0260,66,45,TV,2024-01-05 05:55:00
W00105,P0233,C0355,67,28,Laptop,2024-03-10 21:23:00
W00106,P0044,C0379,140,76,Tablet,2024-05-05 12:22:00
W00107,P0397,C0288,42,21,TV,2024-02-08 16:49:00
W00108,P0474,C0310,96,97,Mobile,2024-05-08 13:11:00
W00109,P0073,C0341,103,85,Mobile,2024-02-26 10:11:00
W00110,P0261,C0156,112,33,Mobile,2024-03-10 13:28:00
W00111,P0231,C0237,109,74,Tablet,2024-02-29 23:07:00
W00112,P0033,C0206,111,89,TV,2024-02-26 16:24:00
W00113,P0388,C0169,106,30,TV,2024-02-05 12:04:00
W00114,P0476,C0290,134,35,Tablet,2024-04-17 10:17:00
W00115,P0410,C0292,11,44,TV,2024-03-26 20:43:00
W00116,P0068,C0378,131,89,Tablet,2024-05-14 02:42:00
W00117,P0016,C0132,109,67,Mobile,2024-01-14 10:31:00
W00118,P0485,C0275,55,51,TV,2024-05-17 23:43:00
W00119,P0150,C0358,54,38,Mobile,2024-04-15 03:24:00
W00120,P0292,C0223,68,38,Tablet,2024-03-10 14:00:00
W00121,P0102,C0185,144,18,Mobile,2024-02-14 20:51:00
W00122,P0186,C0316,79,87,Laptop,2024-04-16 09:55:00
W00123,P0439,C0316,14,81,Tablet,2024-03-22 04:09:00
W00124,P0419,C0114,103,11,Laptop,2024-04-16 03:15:00
W00125,P0025,C0137,72,84,Tablet,2024-01-07 18:13:00
W00126,P0072,C0127,70,11,Mobile,2024-05-06 23:42:00
W00127,P0081,C0252,32,27,Mobile,2024-05-27 15:43:00
W00128,P0061,C0164,111,78,Mobile,2024-05-28 08:11:00
W00129,P0018,C0170,114,66,Laptop,2024-04-29 14:55:00
W00130,P0242,C0254,115,80,Mobile,2024-05-21 22:16:00
W00131,P0058,C0353,82,32,Laptop,2024-02-27 00:20:00
W00132,P0332,C0371,97,28,Laptop,2024-03-22 19:14:00
W00133,P0377,C0129,134,28,TV,2024-03-27 16:23:00
W00134,P0057,C0174,38,67,TV,2024-02-18 06:10:00
W00135,P0097,C0384,51,92,TV,2024-03-29 14:12:00
W00136,P0215,C0159,122,58,Tablet,2024-05-07 07:24:00
W00137,P0319,C0343,132,54,Laptop,2024-04-26 14:54:00
W00138,P0012,C0249,30,37,Mobile,2024-03-11 09:57:00
W00139,P0011,C0110,88,84,TV,2024-02-02 09:52:00
W00140,P0397,C0232,5,59,Tablet,2024-03-01 09:32:00
W00141,P0163,C0162,101,20,Laptop,2024-04-07 00:27:00
W00142,P0283,C0362,91,64,Tablet,2024-02-12 07:02:00
W00143,P0217,C0318,79,18,Mobile,2024-03-26 02:56:00
W00144,P0360,C0332,112,23,TV,2024-01-17 16:05:00
W00145,P0323,C0172,19,30,Laptop,2024-04-07 14:01:00
W00146,P0241,C0116,146,57,Tablet,2024-03-25 00:21:00
W00147,P0345,C0138,59,67,TV,2024-04-21 18:00:00
W00148,P0045,C0277,133,78,TV,2024-03-06 14:01:00
W00149,P0458,C0183,37,18,Laptop,2024-04-07 19:27:00
W00150,P0081,C0117,74,76,TV,2024-04-21 07:14:00
W00151,P0255,C0256,60,87,Tablet,2024-05-04 18:29:00
W00152,P0067,C0272,27,27,Laptop,2024-03-16 05:43:00
W00153,P0493,C0170,58,21,Laptop,2024-02-07 09:30:00
W00154,P0406,C0171,94,96,TV,2024-05-17 10:10:00
W00155,P0102,C0355,135,87,Mobile,2024-03-03 09:20:00
W00156,P0462,C0231,50,25,Mobile,2024-02-01 06:30:00
W00157,P0091,C0149,138,46,Mobile,2024-01-21 08:51:00
W00158,P0042,C0121,21,29,Tablet,2024-05-06 18:11:00
W00159,P0276,C0320,97,29,Laptop,2024-04-19 14:43:00
W00160,P0304,C0287,27,24,TV,2024-05-22 06:15:00
W00161,P0274,C0132,148,34,Mobile,2024-03-19 10:27:00
W00162,P0384,C0303,100,26,TV,2024-04-01 13:01:00
W00163,P0077,C0376,87,21,Mobile,2024-05-04 16:40:00
W00164,P0234,C0342,59,51,Mobile,2024-02-27 17:29:00
W00165,P0454,C0116,66,48,TV,2024-04-22 07:26:00
W00166,P0202,C0273,149,65,Tablet,2024-03-06 21:17:00
W00167,P0485,C0237,106,62,TV,2024-05-10 17:47:00
W00168,P0221,C0279,63,80,TV,2024-04-06 16:51:00
W00169,P0262,C0161,146,81,Tablet,2024-01-06 11:18:00
W00170,P0039,C0204,59,97,Tablet,2024-01-23 10:00:00
W00171,P0011,C0295,66,56,TV,2024-05-02 20:01:00
W00172,P0112,C0356,52,34,Tablet,2024-05-26 11:48:00
W00173,P0409,C0176,107,94,Mobile,2024-02-20 12:58:00
W00174,P0108,C0371,32,59,Tablet,2024-01-12 00:07:00
W00175,P0492,C0281,88,42,TV,2024-02-10 02:43:00
W00176,P0094,C0232,138,83,Tablet,2024-03-25 18:15:00
W00177,P0311,C0251,63,95,Laptop,2024-02-24 15:04:00
W00178,P0084,C0255,94,92,Tablet,2024-02-16 03:57:00
W00179,P0058,C0335,74,38,Mobile,2024-04-13 20:33:00
W00180,P0293,C0348,64,12,Laptop,2024-02-11 13:47:00
W00181,P0016,C0265,149,48,Mobile,2024-01-12 06:25:00
W00182,P0479,C0305,70,13,Mobile,2024-01-07 14:07:00
W00183,P0477,C0265,119,46,Laptop,2024-05-10 14:36:00
W00184,P0326,C0313,128,15,Mobile,2024-01-03 04:42:00
W00185,P0093,C0354,75,19,Laptop,2024-04-23 00:39:00
W00186,P0480,C0257,48,21,Mobile,2024-05-08 16:54:00
W00187,P0457,C0277,88,75,TV,2024-01-08 10:12:00
W00188,P0165,C0175,61,12,Mobile,2024-05-03 11:27:00
W00189,P0437,C0278,40,74,Laptop,2024-04-16 10:12:00
W00190,P0215,C0384,61,73,TV,2024-01-04 16:29:00
W00191,P0144,C0233,125,44,TV,2024-04-19 09:03:00
W00192,P0274,C0225,48,33,Tablet,2024-05-16 13:33:00
W00193,P0403,C0227,66,56,Tablet,2024-04-28 17:19:00
W00194,P0428,C0325,119,61,Tablet,2024-05-08 09:34:00
W00195,P0386,C0117,87,43,TV,2024-04-18 16:52:00
W00196,P0442,C0346,65,93,Tablet,2024-01-21 11:09:00
W00197,P0138,C0237,98,89,TV,2024-01-13 19:45:00
W00198,P0204,C0317,15,34,Tablet,2024-01-04 15:23:00
W00199,P0302,C0296,81,78,Mobile,2024-04-11 04:06:00
W00200,P0210,C0301,124,38,Tablet,2024-05-07 02:10:00
W00201,P0019,C0307,106,73,Laptop,2024-04-06 03:15:00
W00202,P0294,C0116,125,62,Tablet,2024-01-25 15:29:00
W00203,P0293,C0113,116,67,TV,2024-05-05 17:01:00
W00204,P0475,C0178,70,50,Laptop,2024-05-12 03:46:00
W00205,P0368,C0314,114,96,Laptop,2024-01-09 23:15:00
W00206,P0462,C0219,124,60,TV,2024-05-13 03:30:00
W00207,P0301,C0281,27,27,Laptop,2024-02-29 23:20:00
W00208,P0373,C0237,19,50,Laptop,2024-05-18 15:42:00
W00209,P0162,C0279,34,70,Laptop,2024-04-17 07:36:00
W00210,P0130,C0308,8,33,Tablet,2024-05-10 09:47:00
W00211,P0044,C0154,68,56,Laptop,2024-01-30 16:25:00
W00212,P0353,C0179,69,37,Mobile,2024-01-21 02:35:00
W00213,P0083,C0371,12,45,Mobile,2024-02-03 00:40:00
W00214,P0380,C0218,56,30,Tablet,2024-02-20 15:42:00
W00215,P0124,C0206,146,65,Tablet,2024-03-22 22:17:00
W00216,P0027,C0205,62,78,Mobile,2024-03-15 15:52:00
W00217,P0304,C0218,15,35,Laptop,2024-01-23 19:59:00
W00218,P0350,C0329,63,63,Mobile,2024-05-07 04:32:00
W00219,P0007,C0248,28,96,TV,2024-03-09 10:19:00
W00220,P0411,C0250,92,53,Laptop,2024-05-18 14:21:00
W00221,P0341,C0356,50,42,Mobile,2024-01-15 15:30:00
W00222,P0199,C0182,32,35,Mobile,2024-02-02 12:03:00
W00223,P0112,C0116,20,31,Laptop,2024-05-04 04:31:00
W00224,P0089,C0293,46,29,Laptop,2024-03-06 08:02:00
W00225,P0128,C0311,107,11,Laptop,2024-02-16 07:33:00
W00226,P0230,C0174,20,50,Tablet,2024-05-27 02:03:00
W00227,P0018,C0377,104,63,TV,2024-01-01 16:07:00
W00228,P0289,C0161,144,66,Tablet,2024-03-27 10:39:00
W00229,P0161,C0124,38,27,Mobile,2024-03-07 08:35:00
W00230,P0352,C0123,42,14,TV,2024-02-16 02:22:00
W00231,P0378,C0358,131,55,Tablet,2024-01-21 03:46:00
W00232,P0281,C0298,26,84,Mobile,2024-02-26 15:48:00
W00233,P0398,C0153,84,30,Laptop,2024-02-15 07:39:00
W00234,P0422,C0239,92,31,Mobile,2024-05-24 09:10:00
W00235,P0166,C0371,7,12,Laptop,2024-05-16 14:04:00
W00236,P0260,C0301,5,18,Tablet,2024-04-24 10:45:00
W00237,P0364,C0264,57,11,Mobile,2024-03-31 22:57:00
W00238,P0190,C0192,51,37,TV,2024-04-29 09:17:00
W00239,P0338,C0123,119,43,Mobile,2024-02-07 02:21:00
W00240,P0266,C0188,45,62,Laptop,2024-04-09 08:20:00
W00241,P0291,C0282,145,68,Tablet,2024-03-12 11:41:00
W00242,P0355,C0383,70,19,TV,2024-02-04 09:55:00
W00243,P0360,C0121,47,92,TV,2024-04-22 04:40:00
W00244,P0279,C0149,93,11,Tablet,2024-03-28 04:29:00
W00245,P0217,C0290,117,57,Tablet,2024-04-11 11:01:00
W00246,P0321,C0305,30,15,Mobile,2024-03-23 15:46:00
W00247,P0338,C0144,103,53,Mobile,2024-05-10 21:38:00
W00248,P0207,C0400,65,63,TV,2024-01-28 16:19:00
W00249,P0153,C0228,129,80,Mobile,2024-03-11 18:06:00
W00250,P0480,C0289,123,45,Laptop,2024-03-13 12:42:00
W00251,P0181,C0270,66,17,Laptop,2024-05-03 23:18:00
W00252,P0212,C0379,86,92,Mobile,2024-04-30 13:06:00
W00253,P0273,C0301,146,19,TV,2024-05-21 19:03:00
W00254,P0441,C0225,141,42,Mobile,2024-03-01 11:15:00
W00255,P0203,C0392,48,100,Tablet,2024-01-30 04:24:00
W00256,P0205,C0116,60,28,Tablet,2024-03-04 11:12:00
W00257,P0473,C0374,7,27,TV,2024-04-29 13:39:00
W00258,P0404,C0394,102,60,TV,2024-03-29 20:26:00
W00259,P0384,C0120,101,32,Tablet,2024-02-22 16:40:00
W00260,P0153,C0119,95,10,Tablet,2024-03-18 03:41:00
W00261,P0170,C0113,63,68,Laptop,2024-02-10 01:07:00
W00262,P0429,C0117,77,12,Mobile,2024-01-08 08:33:00
W00263,P0241,C0306,145,19,TV,2024-04-14 19:10:00
W00264,P0287,C0130,57,80,Tablet,2024-01-16 07:56:00
W00265,P0245,C0399,46,58,TV,2024-03-02 14:40:00
W00266,P0321,C0143,73,65,Tablet,2024-01-12 17:38:00
W00267,P0436,C0193,114,99,TV,2024-01-11 08:13:00
W00268,P0080,C0166,96,25,TV,2024-02-19 11:00:00
W00269,P0496,C0219,7,48,Laptop,2024-03-09 22:07:00
W00270,P0092,C0172,45,85,Laptop,2024-01-20 16:52:00
W00271,P0149,C0262,129,53,Laptop,2024-05-16 22:27:00
W00272,P0030,C0369,5,17,Laptop,2024-02-04 16:16:00
W00273,P0123,C0318,119,17,Laptop,2024-03-05 17:11:00
W00274,P0387,C0354,74,54,Tablet,2024-02-14 05:42:00
W00275,P0482,C0159,130,20,Mobile,2024-03-16 07:17:00
W00276,P0326,C0132,54,34,Tablet,2024-03-16 02:53:00
W00277,P0427,C0220,84,26,Mobile,2024-02-16 08:46:00
W00278,P0029,C0102,101,92,Laptop,2024-04-14 10:58:00
W00279,P0259,C0218,63,64,TV,2024-01-26 13:39:00
W00280,P0186,C0137,78,88,TV,2024-04-02 06:45:00
W00281,P0417,C0197,67,65,Mobile,2024-01-21 08:24:00
W00282,P0075,C0357,29,53,Mobile,2024-05-11 05:47:00
W00283,P0045,C0228,142,62,Tablet,2024-01-28 12:51:00
W00284,P0069,C0256,81,44,Mobile,2024-05-29 01:15:00
W00285,P0498,C0245,128,48,Tablet,2024-03-07 14:13:00
W00286,P0416,C0157,133,11,Laptop,2024-03-31 15:50:00
W00287,P0367,C0170,103,34,TV,2024-04-14 18:30:00
W00288,P0210,C0144,18,47,TV,2024-01-06 03:33:00
W00289,P0239,C0312,42,77,Tablet,2024-05-24 09:32:00
W00290,P0340,C0275,5,89,Mobile,2024-01-12 04:21:00
W00291,P0308,C0241,88,41,Tablet,2024-01-27 23:23:00
W00292,P0192,C0176,137,88,Mobile,2024-04-15 07:20:00
W00293,P0372,C0258,48,87,Mobile,2024-04-02 12:32:00
W00294,P0103,C0185,61,50,Mobile,2024-04-08 02:21:00
W00295,P0241,C0118,108,88,Tablet,2024-02-04 12:28:00
W00296,P0253,C0384,49,80,Laptop,2024-03-24 10:52:00
W00297,P0424,C0142,64,16,TV,2024-02-18 22:05:00
W00298,P0220,C0234,70,81,Tablet,2024-04-22 20:13:00
W00299,P0397,C0202,51,92,Laptop,2024-05-15 09:14:00
W00300,P0474,C0237,119,27,TV,2024-05-27 14:51:00
W00301,P0336,C0322,30,26,Tablet,2024-04-06 10:01:00
W00302,P0217,C0329,141,91,Tablet,2024-02-08 05:40:00
W00303,P0202,C0394,55,92,Laptop,2024-03-02 10:17:00
W00304,P0029,C0219,98,86,Tablet,2024-04-16 06:21:00
W00305,P0494,C0199,114,68,TV,2024-01-09 22:47:00
W00306,P0447,C0259,140,20,Laptop,2024-02-06 13:36:00
W00307,P0486,C0339,9,60,Tablet,2024-02-10 14:15:00
W00308,P0212,C0289,43,16,TV,2024-01-21 13:38:00
W00309,P0154,C0349,72,36,Tablet,2024-02-28 03:02:00
W00310,P0480,C0126,44,68,Laptop,2024-02-10 06:36:00
W00311,P0231,C0289,40,46,Tablet,2024-01-11 15:06:00
W00312,P0102,C0240,101,14,TV,2024-03-17 02:06:00
W00313,P0315,C0281,30,71,Mobile,2024-02-15 00:00:00
W00314,P0177,C0121,108,81,Tablet,2024-04-17 00:18:00
W00315,P0181,C0263,107,83,Tablet,2024-03-16 09:43:00
W00316,P0472,C0171,79,99,TV,2024-04-18 21:31:00
W00317,P0415,C0182,89,88,TV,2024-02-14 10:01:00
W00318,P0232,C0255,117,64,Laptop,2024-04-12 16:27:00
W00319,P0012,C0147,60,25,Mobile,2024-01-08 19:36:00
W00320,P0186,C0294,61,83,Laptop,2024-03-31 02:53:00
W00321,P0249,C0324,132,65,TV,2024-03-27 16:44:00
W00322,P0420,C0337,105,60,TV,2024-03-24 14:09:00
W00323,P0266,C0380,139,77,TV,2024-05-25 22:27:00
W00324,P0390,C0110,145,55,TV,2024-05-06 06:59:00
W00325,P0135,C0252,88,70,Laptop,2024-03-22 08:04:00
W00326,P0245,C0204,104,87,Mobile,2024-05-26 06:51:00
W00327,P0031,C0224,50,42,TV,2024-03-24 18:56:00
W00328,P0347,C0285,65,64,Laptop,2024-03-16 23:21:00
W00329,P0456,C0390,60,27,Laptop,2024-05-22 00:40:00
W00330,P0259,C0141,33,21,Laptop,2024-01-02 15:58:00
W00331,P0104,C0111,115,83,Laptop,2024-01-29 01:44:00
W00332,P0431,C0318,96,30,Laptop,2024-02-20 21:29:00
W00333,P0382,C0101,146,87,TV,2024-05-21 03:29:00
W00334,P0469,C0271,106,82,TV,2024-02-20 19:01:00
W00335,P0001,C0382,75,35,Mobile,2024-04-30 12:50:00
W00336,P0429,C0153,17,88,Mobile,2024-03-24 07:33:00
W00337,P0438,C0225,149,30,Mobile,2024-04-26 06:26:00
W00338,P0434,C0275,85,31,Mobile,2024-05-23 22:53:00
W00339,P0207,C0365,104,64,Tablet,2024-02-09 04:17:00
W00340,P0135,C0365,87,55,Laptop,2024-03-21 04:27:00
W00341,P0447,C0299,120,50,Laptop,2024-03-05 22:14:00
W00342,P0271,C0356,129,14,Laptop,2024-02-14 16:25:00
W00343,P0089,C0272,6,53,Tablet,2024-04-10 20:36:00
W00344,P0195,C0159,66,25,Laptop,2024-03-02 00:48:00
W00345,P0414,C0206,24,44,Laptop,2024-05-06 03:42:00
W00346,P0122,C0225,94,14,Laptop,2024-01-23 23:51:00
W00347,P0462,C0116,66,71,Laptop,2024-02-07 04:36:00
W00348,P0116,C0138,21,99,Laptop,2024-04-16 06:59:00
W00349,P0196,C0343,43,35,Mobile,2024-04-08 06:14:00
W00350,P0036,C0310,14,70,Tablet,2024-03-13 17:33:00
W00351,P0067,C0385,114,60,TV,2024-04-17 03:14:00
W00352,P0133,C0268,32,78,Mobile,2024-03-19 17:44:00
W00353,P0281,C0364,65,65,Tablet,2024-03-03 00:22:00
W00354,P0479,C0198,62,59,Laptop,2024-04-13 18:18:00
W00355,P0011,C0234,48,45,Tablet,2024-02-17 11:11:00
W00356,P0456,C0281,87,33,Laptop,2024-02-26 19:01:00
W00357,P0218,C0322,129,88,Laptop,2024-04-09 23:23:00
W00358,P0322,C0249,149,39,Tablet,2024-02-03 07:19:00
W00359,P0156,C0344,83,78,TV,2024-01-07 20:19:00
W00360,P0240,C0176,89,57,Laptop,2024-02-25 13:52:00
W00361,P0060,C0362,42,31,Laptop,2024-02-16 19:31:00
W00362,P0138,C0331,34,42,Mobile,2024-01-19 20:25:00
W00363,P0050,C0291,36,78,Tablet,2024-05-25 16:46:00
W00364,P0167,C0234,24,59,Tablet,2024-05-05 06:34:00
W00365,P0165,C0352,106,32,Tablet,2024-02-18 14:40:00
W00366,P0319,C0345,68,19,Mobile,2024-02-07 09:35:00
W00367,P0189,C0365,40,45,Tablet,2024-03-09 23:35:00
W00368,P0487,C0104,30,26,Tablet,2024-04-25 20:27:00
W00369,P0469,C0137,11,62,Laptop,2024-03-05 17:34:00
W00370,P0092,C0171,38,100,TV,2024-05-11 13:56:00
W00371,P0294,C0362,138,17,TV,2024-04-29 22:47:00
W00372,P0376,C0337,66,53,Mobile,2024-03-07 01:14:00
W00373,P0289,C0278,90,70,Tablet,2024-02-14 19:38:00
W00374,P0075,C0196,77,15,Mobile,2024-04-16 07:27:00
W00375,P0045,C0327,132,80,TV,2024-02-20 04:21:00
W00376,P0428,C0111,64,99,Mobile,2024-02-28 02:04:00
W00377,P0385,C0366,68,90,Laptop,2024-05-22 04:04:00
W00378,P0053,C0289,56,46,Laptop,2024-01-30 08:04:00
W00379,P0175,C0309,149,63,Laptop,2024-05-01 02:04:00
W00380,P0161,C0113,64,32,Tablet,2024-02-06 02:49:00
W00381,P0067,C0262,81,100,Laptop,2024-05-03 17:38:00
W00382,P0474,C0160,123,66,Mobile,2024-03-27 10:45:00
W00383,P0399,C0105,142,60,Laptop,2024-01-18 03:20:00
W00384,P0361,C0302,129,67,Tablet,2024-04-22 13:16:00
W00385,P0270,C0112,22,28,Laptop,2024-03-17 00:58:00
W00386,P0407,C0340,68,36,Laptop,2024-05-05 01:48:00
W00387,P0124,C0325,83,98,Tablet,2024-01-22 01:07:00
W00388,P0182,C0282,63,34,Tablet,2024-03-09 19:48:00
W00389,P0376,C0397,62,30,Laptop,2024-02-18 11:13:00
W00390,P0392,C0278,65,34,TV,2024-04-18 13:40:00
W00391,P0182,C0218,122,60,Laptop,2024-05-02 05:42:00
W00392,P0036,C0176,83,80,Mobile,2024-05-10 22:57:00
W00393,P0212,C0146,75,44,Tablet,2024-04-18 12:41:00
W00394,P0384,C0327,92,79,Laptop,2024-03-25 15:41:00
W00395,P0436,C0394,91,59,TV,2024-05-06 16:43:00
W00396,P0134,C0340,143,24,Laptop,2024-01-21 04:59:00
W00397,P0353,C0241,92,33,Mobile,2024-05-18 05:58:00
W00398,P0412,C0304,137,58,Tablet,2024-03-08 23:28:00
W00399,P0178,C0250,43,77,Mobile,2024-04-01 21:43:00
W00400,P0166,C0230,84,16,TV,2024-05-04 08:02:00
W00401,P0414,C0369,24,90,Mobile,2024-05-20 18:54:00
W00402,P0494,C0237,85,63,Mobile,2024-04-07 02:18:00
W00403,P0491,C0216,23,47,Tablet,2024-01-17 18:42:00
W00404,P0337,C0261,147,54,Mobile,2024-03-22 01:43:00
W00405,P0329,C0255,138,18,TV,2024-01-19 02:44:00
W00406,P0476,C0273,120,64,TV,2024-03-25 08:39:00
W00407,P0438,C0230,105,92,Tablet,2024-01-28 08:36:00
W00408,P0327,C0179,43,61,TV,2024-05-24 10:12:00
W00409,P0046,C0157,40,86,TV,2024-04-27 01:03:00
W00410,P0156,C0157,87,58,TV,2024-03-31 19:00:00
W00411,P0401,C0234,98,64,TV,2024-04-07 04:26:00
W00412,P0488,C0114,6,92,TV,2024-02-23 19:23:00
W00413,P0432,C0383,77,79,TV,2024-05-28 06:34:00
W00414,P0428,C0394,39,85,TV,2024-01-05 16:16:00
W00415,P0236,C0247,133,88,Laptop,2024-01-20 09:17:00
